damage_qty,location,erosion,coat_protection,laminate_vis_dry_dam,hole/crack/bonding,lightning_recep_dam/impact,assist,other,num_desc,continuous,out_hue_mode,out_sat_mode,out_brt_mode,size,coverage,asp_ratio,deg_avg,deg_mode,edge,edgelen_avg,edgelen_mode,sc_edge_ratio,sc_follow_turn,sc_reverse_turn,sc_small_turn,sc_score,hue_avg,hue_mode,hue_range,hue_uni,sat_avg,sat_mode,sat_range,sat_uni,brt_avg,brt_mode,brt_range,brt_uni,hue_outin,sat_outin,brt_outin,windtex
3,38,0,2,0,0,0,0,0,1,1,8,2,6,1,7,5,10,11,2,7,7,13,3,9,3,3,8,7,10,14,2,2,3,5,6,6,7,9,8,10,24,5
1,44,0,0,0,2,0,0,0,1,0,10,2,4,1,6,10,10,12,1,8,10,14,0,10,2,2,8,10,8,8,2,2,8,10,2,2,2,4,8,22,62,2
9,48,0,2,0,0,0,0,0,1,1,12,2,8,1,6,4,10,12,5,8,8,12,0,10,2,4,4,4,12,18,2,2,4,6,8,8,8,10,23,13,13,7
1,39,0,2,0,0,0,0,0,1,0,4,2,7,1,7,5,10,11,2,8,6,14,1,11,3,4,4,4,11,8,2,2,2,4,7,7,6,8,3,6,26,4
1,48,0,0,0,2,0,0,0,1,0,6,2,8,1,2,4,10,12,2,8,8,14,6,6,2,2,6,6,12,14,2,2,0,2,6,6,4,6,8,0,60,2
1,49,0,2,0,0,0,0,0,1,0,12,2,8,1,8,4,10,12,2,8,8,14,0,14,2,4,4,4,12,18,2,2,4,6,8,8,6,8,22,10,26,4
1,30,0,2,0,0,0,0,0,1,0,6,2,8,1,6,4,10,12,1,8,6,14,8,6,4,4,4,6,2,4,4,2,4,6,6,6,8,10,16,30,32,2
1,45,0,2,1,0,0,0,0,2,0,6,2,6,1,8,4,10,12,1,8,8,14,5,7,0,2,4,4,6,8,2,2,2,4,4,4,6,8,21,16,54,4
1,48,0,2,0,0,0,0,0,1,0,6,2,6,1,8,6,10,12,1,8,8,12,10,4,4,2,6,6,0,2,2,2,2,4,6,6,2,4,4,0,4,4
1,48,0,1,1,0,0,0,0,2,0,6,2,5,1,6,4,10,11,1,8,8,14,4,9,2,4,6,5,11,11,2,2,4,6,4,4,6,8,10,4,34,2
1,48,0,1,1,0,0,0,0,2,0,6,2,6,1,8,4,10,10,1,8,6,14,0,10,4,4,6,6,8,10,2,2,2,4,6,6,6,8,8,0,30,2
1,40,0,0,0,0,0,0,1,1,0,6,2,6,1,4,10,10,12,2,8,8,14,8,6,2,2,4,4,12,12,2,2,4,6,4,4,6,8,16,4,48,1
1,48,0,1,1,0,0,0,0,2,0,4,2,6,1,6,4,10,12,3,8,10,14,0,12,2,4,4,4,12,10,2,2,4,6,4,6,8,10,4,22,22,1
1,40,0,0,0,0,0,0,1,1,0,7,2,7,1,9,9,11,12,1,8,8,14,4,8,3,2,5,4,12,16,2,2,0,2,6,4,4,6,21,3,45,1
1,42,0,2,0,0,0,0,0,1,0,6,2,6,1,6,3,11,12,1,8,8,14,3,9,1,2,4,4,9,11,2,2,2,4,6,6,3,5,26,4,25,1
1,48,0,0,3,0,0,0,0,1,0,12,2,10,1,6,4,10,12,4,8,8,14,2,8,2,2,8,4,12,18,2,2,6,8,4,4,8,10,14,4,42,3
1,40,0,0,0,0,0,0,1,1,0,12,2,6,1,6,18,10,12,1,8,8,14,0,10,2,2,6,6,12,18,2,2,0,2,4,4,6,8,14,10,48,1
1,46,0,0,0,0,0,0,1,1,0,6,2,8,1,8,4,10,10,2,6,8,12,2,10,2,2,6,4,12,18,2,2,4,6,6,8,6,8,6,2,14,1
1,48,0,0,3,0,0,0,0,1,0,6,2,6,1,8,4,10,12,3,8,8,14,0,10,0,2,4,4,12,16,4,4,4,6,4,4,8,10,20,36,42,2
5,38,0,2,0,0,0,0,0,1,1,6,2,6,4,6,4,10,12,1,6,6,11,5,8,4,2,6,4,12,17,2,2,3,5,6,6,7,9,14,21,25,7
1,41,3,2,0,0,0,0,0,2,0,4,2,6,1,8,10,10,12,2,6,8,12,2,10,4,4,4,4,12,12,2,2,2,4,4,4,6,8,14,0,62,2
1,44,3,0,0,0,0,0,0,1,1,4,2,4,1,8,6,10,12,2,8,8,12,0,10,2,4,4,4,12,10,4,4,6,8,4,4,6,8,4,32,36,2
1,35,0,1,1,0,0,0,0,2,0,6,2,6,1,6,6,10,8,4,8,8,14,2,10,4,4,6,6,4,6,2,2,2,4,4,4,4,6,4,6,71,1
1,36,0,1,1,0,0,0,0,2,0,4,2,6,1,6,4,10,10,2,8,8,14,2,10,4,4,6,6,12,8,2,2,2,4,4,4,6,8,16,0,66,1
1,37,0,1,1,0,0,0,0,2,1,12,2,8,1,6,6,10,10,7,8,8,14,6,8,4,4,6,6,12,18,2,2,2,4,4,4,6,8,18,0,62,1
6,38,0,2,0,0,0,0,0,1,0,4,2,6,1,6,4,10,12,2,8,8,14,1,11,4,4,4,4,4,6,2,2,2,4,5,5,6,8,14,8,28,7
1,44,3,0,0,0,0,0,0,1,1,4,2,8,1,7,5,9,10,1,7,7,13,2,10,5,3,4,4,6,8,3,3,3,5,5,4,4,6,11,18,44,2
1,33,0,1,1,0,0,0,0,2,0,6,2,6,1,6,6,10,10,4,8,8,13,3,9,4,4,6,6,10,9,2,2,8,9,4,4,6,8,15,7,58,1
1,36,0,1,1,0,0,0,0,2,0,6,2,6,1,6,6,10,8,4,8,8,12,4,8,6,4,6,6,12,14,2,2,2,4,6,6,6,8,12,15,28,1
6,37,0,2,0,0,0,0,0,1,1,9,2,7,1,7,4,10,12,2,8,8,13,3,9,4,3,7,7,8,10,2,2,5,7,4,3,6,8,15,4,45,7
1,42,0,1,1,0,0,0,0,2,0,4,2,6,1,6,4,10,10,4,8,8,14,2,10,2,4,6,4,12,16,2,2,8,10,4,4,6,8,10,2,40,2
1,44,3,0,0,0,0,0,0,1,1,12,2,4,1,8,18,10,12,3,8,8,14,2,10,2,4,10,12,12,18,2,2,2,4,4,4,8,10,10,8,30,2
1,19,0,1,1,0,0,0,0,2,0,12,2,8,1,7,4,10,11,2,7,7,13,4,8,2,3,12,12,4,6,3,2,8,10,5,5,8,10,2,26,57,1
5,42,0,2,0,0,0,0,0,1,1,12,2,7,1,6,5,10,12,4,7,7,12,3,9,3,3,9,12,12,18,2,2,7,9,6,7,8,10,11,29,28,7
2,43,0,1,1,0,2,0,0,3,1,4,2,6,1,7,5,10,12,2,8,6,14,3,9,3,4,5,5,11,16,2,2,7,9,4,4,6,8,15,13,44,5
1,35,0,0,3,0,0,0,0,1,0,11,2,8,1,6,5,10,10,6,8,8,14,2,10,4,4,8,6,11,16,2,2,5,7,4,4,6,8,19,2,66,1
