damage_qty,location,erosion,coat_protection,laminate_vis_dry_dam,crack/bonding,lightning/impact,surface/deflector,hole,other[1_2],num_desc,continuous,out_hue_mode,out_sat_mode,out_brt_mode,coverage,asp_ratio,deg_avg,deg_mode,edge,edgelen_avg,edgelen_mode,sc_edge_ratio,sc_follow_turn,sc_reverse_turn,sc_small_turn,hue_avg,hue_mode,hue_range,hue_uni,sat_avg,sat_mode,sat_range,sat_uni,brt_avg,brt_mode,brt_range,brt_uni,hue_outin,sat_outin,brt_outin,size,windtex
4,41.0,0,2,0,0,0,0,0,0,1,1,12,2,10,8,2,10,12,68,6,6,12,6,8,4,4,4,12,18,2,2,8,10,4,4,8,10,22,19,46,6851.0094,2.0
4,40.0,0,2,0,0,0,0,0,0,1,1,10,2,8,6,5,10,12,222,8,8,13,4,9,4,5,4,12,18,2,2,7,9,5,6,8,10,20,9,30,407.05060000000003,2.0
1,44.0,0,1,1,0,0,0,0,0,2,0,4,2,2,10,4,10,8,16,6,6,10,10,6,6,4,4,11,11,4,4,4,6,6,4,8,10,13,28,48,14.1312,0.5
2,43.0,0,2,1,0,0,0,0,0,3,1,5,2,8,7,5,10,12,122,7,7,12,5,9,3,4,5,12,17,2,2,8,10,6,7,8,10,14,24,30,685.8595,1.5
3,43.0,0,2,0,0,0,0,0,0,1,1,11,2,8,8,4,10,10,211,6,6,12,6,8,6,7,9,12,17,2,2,7,9,4,3,8,10,21,17,50,1680.2591000000002,2.0
3,44.0,2,2,0,0,0,0,0,0,2,1,12,2,10,6,6,10,12,150,8,8,14,4,10,6,8,4,12,18,2,2,8,10,4,2,8,10,16,14,20,109.9711,2.0
1,34.0,0,1,1,0,0,0,0,0,2,0,12,2,6,6,6,10,10,150,8,8,14,6,8,4,12,12,2,4,2,2,6,8,4,4,6,8,0,6,62,0.6517,0.5
3,38.0,0,2,0,0,0,0,0,0,1,1,6,2,7,7,4,10,11,168,7,6,13,5,9,4,5,5,12,17,2,2,4,6,6,6,8,10,15,11,32,433.7255,2.0
1,44.0,0,0,0,1,0,0,0,0,1,0,10,2,4,6,10,10,12,40,8,10,14,2,10,2,8,10,8,8,2,2,8,10,2,2,2,4,8,22,62,1.5153,0.5
9,48.8,0,2,0,0,0,0,0,0,1,1,12,2,8,6,4,10,12,242,8,8,12,2,10,2,4,4,12,18,2,2,4,6,8,8,8,10,23,13,13,276.63,3.0
